bearer,predicate,artefact,n_sources,covered,smart_section,smart_component,extractors
Authorised_Representative,Disclose,Mandate,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authorised_Representative,Produce,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authorised_Representative,Produce,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Authorised_Representative,Report,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,CorrectiveAction,3,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,Unknown_Artefact,6,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,DeclarationOfConformity,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,DeviceSamples,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,RegulatorySandbox,3,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,RiskManagementSystem,1,True,Section 5,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,SandboxOutcome,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
