bearer,predicate,artefact,n_sources,covered,smart_section,smart_component,extractors
Authorised_Representative,Disclose,Mandate,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authorised_Representative,Produce,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authorised_Representative,Produce,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,CorrectiveAction,1,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Assess,Unknown_Artefact,10,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,DeviceSamples,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,RegulatorySandbox,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,SandboxOutcome,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,TechnicalDocumentation,3,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,TemplateForm,2,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,TransparencyInformation,2,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,Unknown_Artefact,20,False,,,regex-baseline-v2[Mandatory+Recommended]
